price,m2_price,square,rooms,district,micro_district,building_type,condition,floor/floors
40000,1212,33,1,1,2,2,4,1.0
95160,1220,78,2,1,0,2,3,0.2777777777777778
51415,910,56,2,2,2,2,3,0.36363636363636365
65108,820,79,2,1,0,2,3,0.3333333333333333
110000,880,125,3,1,0,2,3,0.9166666666666666
87550,850,103,3,1,4,2,3,0.25
76000,950,80,2,1,0,2,3,0.9166666666666666
15500,969,16,1,1,3,1,5,0.75
72240,840,86,2,1,0,1,3,0.3333333333333333
148840,1220,122,3,1,0,1,0,0.3333333333333333
37500,798,47,1,1,1,2,3,0.16666666666666666
101250,750,135,3,1,0,2,3,0.5
67500,1125,60,3,2,2,2,5,0.2
58500,1245,47,2,1,0,1,3,0.3
40000,1212,33,1,1,2,1,7,1.0
73500,919,80,2,2,1,1,5,0.3
83000,1092,76,2,0,3,2,7,0.8
80000,1143,70,2,1,3,2,7,0.8
60000,857,70,3,2,2,1,7,1.0
25500,593,43,1,3,0,2,7,1.0
62500,1420,44,2,3,0,2,7,0.8
52700,850,62,2,2,1,2,7,0.6428571428571429
70500,1102,64,2,2,2,2,7,0.7
106000,1029,103,3,1,0,2,3,0.6875
89500,810,110,3,1,0,2,3,0.42857142857142855
54500,781,70,2,1,0,2,3,1.0
98400,820,120,3,1,0,2,3,1.0
105000,1129,93,3,3,4,2,7,0.9
71000,1651,43,1,1,0,2,7,0.3333333333333333
34600,844,41,1,3,0,1,3,0.5555555555555556
67000,838,80,3,0,1,1,3,1.0
45000,1023,44,1,1,2,3,7,0.7777777777777778
109000,1019,107,3,1,2,1,5,0.875
37500,815,46,1,1,1,2,3,0.2
58000,1349,43,2,2,4,1,5,0.2
44500,1112,40,1,0,3,2,5,1.0
51000,1186,43,1,1,0,2,5,0.3333333333333333
145000,1051,138,3,3,4,2,5,0.6153846153846154
82410,670,123,3,1,0,2,0,0.9285714285714286
46000,1070,43,2,3,2,1,5,1.0
60000,882,68,2,1,0,3,7,0.5555555555555556
60000,1277,47,2,1,0,2,3,0.21428571428571427
160000,1818,88,2,3,4,2,5,0.5384615384615384
64000,1000,64,2,1,0,2,5,0.75
73000,1197,61,2,3,1,2,5,0.3
140000,1129,124,4,2,4,2,5,0.8571428571428571
127000,1270,100,4,2,4,1,4,0.5555555555555556
63000,1212,52,2,1,2,3,7,0.7777777777777778
80500,856,94,2,1,3,1,7,0.9
113000,1009,112,3,3,4,1,5,0.6666666666666666
82000,1025,80,3,1,2,3,7,0.2222222222222222
87500,1042,84,2,1,2,2,7,0.4166666666666667
62500,1025,61,3,0,2,1,4,1.0
46500,1134,41,2,1,0,2,5,0.6
138500,989,140,3,1,2,2,5,0.5
68500,1022,67,2,1,0,2,3,0.3333333333333333
128000,977,131,3,3,1,1,7,0.9090909090909091
48000,857,56,1,1,0,2,3,0.4444444444444444
72500,1007,72,3,1,2,3,7,0.4
66000,825,80,2,0,2,2,5,0.9
19500,886,22,1,1,2,1,5,1.0
72240,840,86,2,1,0,2,3,0.75
185000,954,194,4,3,4,2,5,0.5
82000,1025,80,3,1,2,3,5,0.2222222222222222
83000,1221,68,3,1,2,2,5,1.0
188000,1146,164,4,1,2,2,5,0.8888888888888888
285000,1425,200,4,3,4,2,5,0.7692307692307693
57000,950,60,2,1,2,3,4,0.4444444444444444
114000,991,115,4,2,4,2,5,0.9
185000,1000,185,4,2,4,2,5,0.9090909090909091
47000,1382,34,1,2,4,3,4,0.5555555555555556
37000,1233,30,1,1,3,1,5,0.25
62000,954,65,3,3,1,1,7,1.0
44900,1044,43,2,1,3,1,4,0.3333333333333333
135000,1089,124,4,3,0,2,7,0.8
70000,1148,61,3,1,2,3,5,1.0
39000,1182,33,1,0,3,3,4,0.2222222222222222
77000,1711,45,2,1,0,2,7,0.75
85000,1133,75,2,2,2,2,5,0.6666666666666666
64000,1016,63,3,1,2,3,5,1.0
37000,822,45,2,2,1,2,7,0.25
74000,1104,67,3,1,0,3,7,0.4
59000,1017,58,3,0,1,1,5,1.0
105000,946,111,3,1,4,1,5,0.8333333333333334
36000,857,42,1,2,2,2,3,0.14285714285714285
44500,927,48,1,1,2,3,4,0.7777777777777778
38000,1118,34,1,0,2,3,4,0.6666666666666666
48000,1371,35,1,1,2,3,4,0.2222222222222222
250000,2232,112,3,1,0,2,7,0.625
160000,1600,100,3,1,0,2,7,0.7
230000,1198,192,4,1,0,2,3,0.5833333333333334
86250,1150,75,2,1,0,1,3,0.4166666666666667
140400,1300,108,3,1,2,2,3,0.5333333333333333
39500,1274,31,1,2,2,1,7,0.25
89489,810,110,3,1,0,1,3,0.42857142857142855
41250,750,55,1,1,0,2,3,0.6875
49600,1102,45,1,2,1,2,7,1.0
54250,1000,54,1,3,1,2,5,0.6666666666666666
197200,1700,116,3,1,0,2,3,0.6
90892,1240,73,2,0,4,2,3,0.7894736842105263
25000,595,42,1,3,1,2,3,0.8
165000,825,200,5,3,1,1,5,0.8333333333333334
80000,800,100,3,0,4,1,5,1.0
29000,763,38,1,1,1,2,3,0.7857142857142857
62480,710,88,3,1,1,2,3,0.6428571428571429
63960,780,82,2,1,0,2,3,0.4375
48240,720,67,2,1,1,2,3,0.5
84500,1122,75,3,3,1,1,7,0.6666666666666666
84500,1056,80,2,1,2,2,7,0.2
57999,1184,49,2,1,2,3,4,0.6666666666666666
58930,710,83,3,1,1,2,3,0.5714285714285714
55200,800,69,2,1,0,2,3,0.8125
550000,9042,61,2,0,2,2,3,0.6428571428571429
108550,835,130,3,1,0,2,3,0.5714285714285714
110220,835,132,3,1,0,2,3,0.2857142857142857
39500,823,48,1,1,0,2,3,0.9
40600,967,42,1,2,4,1,4,0.6
67500,974,69,2,0,1,2,7,1.0
46400,800,58,1,1,0,2,3,0.875
72000,972,74,2,0,1,2,7,0.6
180000,1406,128,3,2,3,2,5,0.8
115230,835,138,4,1,0,2,3,0.5
119000,1190,100,3,2,2,3,5,0.4375
95000,1044,91,3,2,1,2,5,1.0
56000,1143,49,2,0,3,3,5,0.8
62700,825,76,2,3,1,2,5,0.8
300000,2679,112,3,1,0,2,7,0.875
